streetLine,price,hoa,sqFt,pricePerSqFt,lotSize,beds,baths,city,state,zip,postalCode,countryCode,yearBuilt,propertyType,latitude,longitude
701 Bass Way,3150000,83,6605,477,27050,6,7.0,Sandy Springs,GA,30328,30328,US,2018,SingleFamilyResidence,33.9157493,-84.3982506
2071 Evergreen Ln NW,759000,,1845,411,7318,3,2.0,Atlanta,GA,30318,30318,US,1949,SingleFamilyResidence,33.8117854,-84.4049358
3148 Ascot Ct,469000,,1190,394,13068,3,2.0,Atlanta,GA,30341,30341,US,1961,SingleFamilyResidence,33.88137,-84.2781006
1611 Aeslin Dr NW,469900,175,1507,312,1306,3,2.5,Atlanta,GA,30318,30318,US,2024,SingleFamilyResidence,33.786693,-84.4405761
2015 Liberty Ct NW,395000,450,1326,298,609,3,3.5,Atlanta,GA,30318,30318,US,2006,SingleFamilyResidence,33.8179122,-84.4414092
1420 Cartecay Dr,425000,,1088,391,4356,2,2.0,Brookhaven,GA,30319,30319,US,1961,SingleFamilyResidence,33.8571259,-84.331076
1704 Wildwood Rd NE,1250000,,2509,498,48530,4,3.5,Atlanta,GA,30306,30306,US,1948,SingleFamilyResidence,33.8013367,-84.3497233
3400 Malone Dr #211,429000,495,1020,421,1306,2,2.0,Atlanta,GA,30341,30341,US,2007,SingleFamilyResidence,33.8898481,-84.3079398
2480 Georgetown Ave,540000,275,2160,250,1742,3,3.5,Atlanta,GA,30345,30345,US,2019,SingleFamilyResidence,33.8589091,-84.3085327
2680 Ashley Downs Ln,194900,,1518,128,23400,3,2.0,Atlanta,GA,30349,30349,US,1990,SingleFamilyResidence,33.5674142,-84.4774205
7470 Princeton Trce,750000,61,2835,265,24611,4,3.5,Sandy Springs,GA,30328,30328,US,1977,SingleFamilyResidence,33.9590521,-84.3683545
1114 Morningside Pl NE,399900,395,1320,303,1319,2,2.5,Atlanta,GA,30306,30306,US,1982,SingleFamilyResidence,33.8072181,-84.352215
204 Alderwood Pt,580000,340,2363,245,914,3,3.5,Atlanta,GA,30328,30328,US,2013,SingleFamilyResidence,33.9381924,-84.3762198
1750 Friar Tuck Rd NE,5000000,,6820,733,17898,5,5.5,Atlanta,GA,30309,30309,US,2019,SingleFamilyResidence,33.8023926,-84.3810283
2255 Peachtree Rd #328,259000,471,792,327,784,1,1.0,Atlanta,GA,30309,30309,US,2003,SingleFamilyResidence,33.8392462,-84.379597
5513 Kingsport Dr,229000,330,1072,214,1071,2,1.5,Atlanta,GA,30342,30342,US,1980,SingleFamilyResidence,33.9096142,-84.3841939
4477 Jett Rd NW,1350000,,3210,421,21910,3,2.5,Atlanta,GA,30327,30327,US,1992,SingleFamilyResidence,33.8773271,-84.4053883
6060 Hemperly Rd,330000,24,2682,123,6229,5,3.0,Atlanta,GA,30349,30349,US,2008,SingleFamilyResidence,33.5879887,-84.4786452
115 Biscayne Dr NW Apt B 3,279000,656,1300,215,1306,3,2.0,Atlanta,GA,30309,30309,US,1964,SingleFamilyResidence,33.8158128,-84.3946003
748 Charles Allen Dr,2625000,,4235,620,7501,4,4.5,Atlanta,GA,30308,30308,US,2024,SingleFamilyResidence,33.7750483,-84.3730361
2018 Presley Way NE,1150000,,3500,329,8712,5,3.5,Atlanta,GA,30317,30317,US,2024,SingleFamilyResidence,33.7605623,-84.3214256
2584 Beverly Hills Dr,485000,,1962,247,13068,3,2.0,Atlanta,GA,30341,30341,US,1957,SingleFamilyResidence,33.8791074,-84.283255
3085 Rhodenhaven Dr NW,2499000,,6718,372,21910,6,6.0,Atlanta,GA,30327,30327,US,2017,SingleFamilyResidence,33.8397896,-84.4112167
701 Walden Blvd,568000,54,4835,117,27704,7,6.0,Atlanta,GA,30349,30349,US,2008,SingleFamilyResidence,33.6647128,-84.628536
1263 Briarcliff Rd NE,575000,,1661,346,14374,3,1.5,Atlanta,GA,30306,30306,US,1953,SingleFamilyResidence,33.7881701,-84.3392354
2824 Shady Valley Dr NE,1090000,,3148,346,21780,3,5.0,Atlanta,GA,30324,30324,US,1985,SingleFamilyResidence,33.8321385,-84.3483317
2965 Pharr Court South NW #118,135000,343,642,210,640,1,1.0,Atlanta,GA,30305,30305,US,1958,SingleFamilyResidence,33.8360556,-84.3845751
3618 Barrow Pl SW,199000,,1165,171,13817,3,2.0,Atlanta,GA,30331,30331,US,1955,SingleFamilyResidence,33.6843947,-84.5072036
270 17th St NW #802,499900,704,1369,365,1367,2,2.5,Atlanta,GA,30363,30363,US,2009,SingleFamilyResidence,33.7909115,-84.3975469
2085 Garrison Way NW,525000,193,2474,212,2178,3,3.5,Atlanta,GA,30318,30318,US,2017,SingleFamilyResidence,33.8122659,-84.4802547
675 Lockton,775000,450,3692,210,1032,4,4.5,Sandy Springs,GA,30342,30342,US,2007,SingleFamilyResidence,33.9074869,-84.3651945
1639 Bridgeport Dr NW,274900,,1150,239,8102,3,2.0,Atlanta,GA,30318,30318,US,1958,SingleFamilyResidence,33.7998495,-84.4765217
2555 Flat Shoals Rd Apt #3305,249900,250,1408,177,2003,3,2.5,College Park,GA,30349,30349,US,2006,SingleFamilyResidence,33.5907379,-84.4727767
480 John Wesley Dobbs Ave NE #304,500000,538,1240,403,1241,2,2.0,Atlanta,GA,30312,30312,US,2007,SingleFamilyResidence,33.7595477,-84.3715916
1211 Pine Heights Dr NE,215000,391,831,259,827,1,1.0,Atlanta,GA,30324,30324,US,1986,SingleFamilyResidence,33.828824,-84.356418
611 S Eugenia Pl NW,349000,,1600,218,28300,4,3.0,Atlanta,GA,30318,30318,US,1956,SingleFamilyResidence,33.7720097,-84.4537402
840 N Island Dr,9650000,,11959,807,84070,5,9.0,Sandy Springs,GA,30327,30327,US,2024,SingleFamilyResidence,33.8918911,-84.4139446
686 Cassanova St SE,350000,,720,486,11817,3,2.0,Atlanta,GA,30315,30315,US,1948,SingleFamilyResidence,33.7160709,-84.3656883
1806 Charleston Ave,365000,,,,7927,5,2.0,Atlanta,GA,30315,30315,US,2002,SingleFamilyResidence,33.7049801,-84.3755512
2621 Abner Pl NW,175000,,648,270,34416,3,1.0,Atlanta,GA,30318,30318,US,1950,SingleFamilyResidence,33.7987359,-84.4653282
3235 Roswell Rd #719,355000,706,1125,316,1132,1,1.5,Atlanta,GA,30305,30305,US,1999,SingleFamilyResidence,33.8433751,-84.3789797
965 Heards Ferry Rd,850000,,4247,200,52707,4,3.0,Sandy Springs,GA,30328,30328,US,1971,SingleFamilyResidence,33.9195776,-84.4179846
1989 Commodore Ln,600000,,1539,390,13068,3,2.0,Chamblee,GA,30341,30341,US,1964,SingleFamilyResidence,33.9110356,-84.3065047
2657 Lenox Rd NE Unit N184,230000,311,964,239,958,2,2.0,Atlanta,GA,30324,30324,US,1994,SingleFamilyResidence,33.8271088,-84.3528924
1645 Winpost Ln NW,460000,175,1507,305,1089,3,2.5,Atlanta,GA,30318,30318,US,2022,SingleFamilyResidence,33.7863535,-84.4413533
63 Daniel Ave NE,659000,,1703,387,8712,3,2.0,Atlanta,GA,30317,30317,US,1947,SingleFamilyResidence,33.7534085,-84.2984126
2709 Southwell St,1884990,288,3434,549,,5,5.0,Atlanta,GA,30305,30305,US,2024,SingleFamilyResidence,33.832908,-84.381277
1658 Barrett Dr NW,335000,,1558,215,11151,3,3.0,Atlanta,GA,30318,30318,US,1967,SingleFamilyResidence,33.8011072,-84.4835023
1698 Bridgeport Dr NE,599000,,1696,353,8712,3,3.0,Atlanta,GA,30329,30329,US,1950,SingleFamilyResidence,33.8314015,-84.3178194
1604 Niskey Lake Rd SW,1200000,,6478,185,19122,6,6.0,Atlanta,GA,30331,30331,US,2024,SingleFamilyResidence,33.7104924,-84.5347309
1610 Niskey Lake Rd SW,1250000,,7239,173,18033,6,5.5,Atlanta,GA,30331,30331,US,2024,SingleFamilyResidence,33.710127,-84.53473
1869 Tremont Dr NW,379900,,1975,192,7501,4,3.0,Atlanta,GA,30314,30314,US,1955,SingleFamilyResidence,33.7628181,-84.4482115
3365 Rose Rdg,539999,23,2427,222,8712,4,3.0,Atlanta,GA,30340,30340,US,1995,SingleFamilyResidence,33.8917524,-84.2531649
5820 N Castlegate Dr Unit 5820-5822,240000,,,,10890,,,Atlanta,GA,30349,30349,US,1987,Accommodation,33.5971393,-84.4545861
1576 Archer St SW,379999,,1468,259,6298,4,2.0,Atlanta,GA,30314,30314,US,2005,SingleFamilyResidence,33.7506435,-84.4389694
1131 Park Overlook Dr,925000,100,3741,247,3049,4,4.0,Atlanta,GA,30324,30324,US,2002,SingleFamilyResidence,33.8284199,-84.3516156
1567 Paxon St SE,665000,,2320,287,8712,4,3.0,Atlanta,GA,30317,30317,US,1963,SingleFamilyResidence,33.7504171,-84.3361604
1430 N Morningside Dr NE,1450000,,3441,421,13939,4,3.5,Atlanta,GA,30306,30306,US,1930,SingleFamilyResidence,33.7934015,-84.3579511
2729 Ridge Valley Rd NW,995000,,,,21605,5,4.5,Atlanta,GA,30327,30327,US,1961,SingleFamilyResidence,33.8312491,-84.4414777
7136 Glaspie Way,439900,75,2523,174,9064,4,3.5,Atlanta,GA,30349,30349,US,2021,SingleFamilyResidence,33.6685195,-84.6179459
654 Mcgill Pl NE #654,299000,400,1266,236,1263,2,2.0,Atlanta,GA,30312,30312,US,1987,SingleFamilyResidence,33.7651036,-84.3765399
1010 Fairburn Rd NW,320000,,,,11608,4,2.0,Atlanta,GA,30331,30331,US,1961,Accommodation,33.7790896,-84.5054023
26 Ormond St SE,250000,,,,3201,3,1.0,Atlanta,GA,30315,30315,US,1920,SingleFamilyResidence,33.7318849,-84.3870883
1062 Grant Ter,424000,,1148,369,3998,2,2.0,Atlanta,GA,30315,30315,US,1953,SingleFamilyResidence,33.725281,-84.3794725
946 Parsons St SW,365000,,1503,243,5000,3,2.0,Atlanta,GA,30314,30314,US,2007,SingleFamilyResidence,33.7509524,-84.418545
315 Vickers Dr NE,1550000,,4500,344,13068,5,4.0,Atlanta,GA,30307,30307,US,2006,SingleFamilyResidence,33.7840996,-84.3170384
834 Dekalb Ave NE Unit E,615000,491,1520,405,1520,2,1.0,Atlanta,GA,30307,30307,US,1997,SingleFamilyResidence,33.7545304,-84.3602685
1965 Carlotta Ct,1790000,292,7395,242,8712,6,7.0,Atlanta,GA,30345,30345,US,2007,SingleFamilyResidence,33.8410585,-84.2923495
6160 River Shore Pkwy,775000,,2246,345,26401,5,3.0,Atlanta,GA,30328,30328,US,1964,SingleFamilyResidence,33.9229938,-84.3998597
4853 Stonehall Pl,864900,200,3699,234,1306,4,3.5,Atlanta,GA,30339,30339,US,2007,SingleFamilyResidence,33.835875,-84.4705063
1127 Riverbend Club Dr SE,400000,395,1612,248,6067,3,2.5,Atlanta,GA,30339,30339,US,1972,SingleFamilyResidence,33.8992944,-84.4444365
825 Marseilles Dr,1999000,,8115,246,32321,5,5.5,Atlanta,GA,30327,30327,US,1984,SingleFamilyResidence,33.9120618,-84.4145993
2538 Warwick Cir NE,539000,,2688,201,13068,4,3.0,Atlanta,GA,30345,30345,US,2023,SingleFamilyResidence,33.861681,-84.300579
145 Alderwood Hl,645000,425,2746,235,2308,3,3.5,Sandy Springs,GA,30328,30328,US,2010,SingleFamilyResidence,33.9377417,-84.3748414
1040 Hemphill Ave,725000,,,,6359,8,3.0,Atlanta,GA,30318,30318,US,1925,SingleFamilyResidence,33.7831567,-84.4054549
1374 Sheffield Glen Way NE,485000,300,1716,283,958,3,2.5,Atlanta,GA,30329,30329,US,1987,SingleFamilyResidence,33.8207706,-84.3332244
6851 Roswell Rd Unit O9,179000,368,797,225,797,1,1.0,Atlanta,GA,30328,30328,US,1964,SingleFamilyResidence,33.940484,-84.3711229
451 Collier Ridge Dr NW,275000,,1134,243,9661,3,2.0,Atlanta,GA,30318,30318,US,1948,SingleFamilyResidence,33.7674041,-84.4763104
5863 Little River Rd,300000,,1,300000,,3,2.5,Atlanta,GA,30349,30349,US,2017,SingleFamilyResidence,33.5971461,-84.4447732
62 Lamsden Ln NW,285000,1184,1163,245,1163,2,2.0,Atlanta,GA,30327,30327,US,1968,SingleFamilyResidence,33.819172,-84.427646
994 Byron Dr SW,470900,,1456,323,7622,3,2.5,Atlanta,GA,30310,30310,US,1930,SingleFamilyResidence,33.7125955,-84.4207702
1101 Juniper St NE #612,339900,390,764,445,784,1,1.0,Atlanta,GA,30309,30309,US,1999,SingleFamilyResidence,33.7847974,-84.3816685
1009 Riverbend Club Dr SE,374500,600,1352,277,3014,2,1.5,Atlanta,GA,30339,30339,US,1972,SingleFamilyResidence,33.8977929,-84.4444872
943 Clifton Rd NE,1200000,,2018,595,26136,3,2.5,Atlanta,GA,30307,30307,US,1950,SingleFamilyResidence,33.780055,-84.322589
504 Townsend Pl NW,775000,1099,3016,257,3676,3,4.0,Atlanta,GA,30327,30327,US,1979,SingleFamilyResidence,33.863342,-84.450189
1545 Westview Dr SW,415000,,1483,280,5039,3,2.0,Atlanta,GA,30310,30310,US,1935,SingleFamilyResidence,33.7477345,-84.438149
3475 Oak Valley Rd #2820,949000,1083,2100,452,2099,2,2.5,Atlanta,GA,30326,30326,US,1992,SingleFamilyResidence,33.8500083,-84.3593756
6816 Prelude Dr,820000,392,2256,363,958,3,3.5,Sandy Springs,GA,30328,30328,US,2022,SingleFamilyResidence,33.9397472,-84.3636622
2536 Skyland Dr NE,765000,250,2524,303,871,4,3.5,Atlanta,GA,30319,30319,US,2017,SingleFamilyResidence,33.86068,-84.314167
773 Pryor St SW,215000,,2206,97,8698,0,,Atlanta,GA,30315,30315,US,1920,SingleFamilyResidence,33.7337275,-84.3945956
1119 Cascade Rd SW,329000,,1894,174,16683,4,2.0,Atlanta,GA,30311,30311,US,1950,SingleFamilyResidence,33.7252225,-84.4480415
1705 Monroe Dr NE Unit B07,165000,900,800,206,56628,2,1.0,Atlanta,GA,30324,30324,US,1958,SingleFamilyResidence,33.801496,-84.371177
6030 River Chase Cir,2375000,,7700,308,31498,8,7.0,Atlanta,GA,30328,30328,US,1977,SingleFamilyResidence,33.9197969,-84.4270985
215 Piedmont Ave NE,240000,,,,932,2,1.0,Atlanta,GA,30308,30308,US,1963,Accommodation,33.7601493,-84.3816048
816 Berne St #6,929000,275,2375,391,1089,4,4.0,Atlanta,GA,30316,30316,US,2024,SingleFamilyResidence,33.7367452,-84.3607378
3155 Oakcliff Rd NW,269000,,1541,175,28139,3,2.0,Atlanta,GA,30311,30311,US,1940,SingleFamilyResidence,33.7590021,-84.4906232
2807 High Tide Dr,280000,21,1740,161,6446,4,3.0,South Fulton,GA,30349,30349,US,2004,SingleFamilyResidence,33.6124987,-84.4838382
1564 Bubbling Creek Rd NE,874999,,,,21780,4,3.0,Brookhaven,GA,30319,30319,US,1968,SingleFamilyResidence,33.89942,-84.3241695
20 Pine Canyon Dr SW #24,235000,225,1540,153,5048,3,2.5,Atlanta,GA,30331,30331,US,2003,SingleFamilyResidence,33.6754486,-84.4872399
1910 Cedar Glenn Way #4403,355000,326,1209,294,1306,2,2.0,Atlanta,GA,30339,30339,US,2007,SingleFamilyResidence,33.9069578,-84.4623043
2677 Caruso Way,490000,285,1645,298,871,3,3.0,Atlanta,GA,30339,30339,US,2022,SingleFamilyResidence,33.858887,-84.4785069
983 Kirkwood Ave SE,735000,275,1800,408,2047,3,2.5,Atlanta,GA,30316,30316,US,2015,SingleFamilyResidence,33.7500817,-84.3551511
289 Heritage Ln SE,1100000,335,3403,323,1132,4,4.5,Atlanta,GA,30316,30316,US,2020,SingleFamilyResidence,33.7461176,-84.3551805
262 Green Hill Rd,1275000,,3681,346,11325,4,3.5,Sandy Springs,GA,30342,30342,US,2024,SingleFamilyResidence,33.9005717,-84.3788198
525 Glenmanor Ct,1250000,255,4257,294,11325,5,5.5,Sandy Springs,GA,30328,30328,US,2006,SingleFamilyResidence,33.9226107,-84.3669472
"3334 Peachtree Rd NE Unit 1209, 1210",1750000,826,2453,713,2452,3,3.0,Atlanta,GA,30326,30326,US,1997,SingleFamilyResidence,33.849379,-84.3705772
156 Dahlia Ave NW,199900,,979,204,5662,3,1.5,Atlanta,GA,30314,30314,US,1949,SingleFamilyResidence,33.7584345,-84.4623982
20 Pine Canyon Dr SW #17,215000,225,1540,140,5662,3,2.5,Atlanta,GA,30331,30331,US,2003,SingleFamilyResidence,33.6754486,-84.4872399
897 Berkshire Rd NE,1490000,,2693,553,34412,2,2.5,Atlanta,GA,30324,30324,US,1950,SingleFamilyResidence,33.7998184,-84.3576906
80 Adrian Pl,249000,592,1100,226,1089,2,2.0,Atlanta,GA,30327,30327,US,1970,SingleFamilyResidence,33.8185703,-84.4247063
1528 Dianne Ct SE,469500,,2340,201,13068,4,3.5,Atlanta,GA,30316,30316,US,1955,SingleFamilyResidence,33.7147745,-84.323228
5568 Halsey Trce SW,379900,42,3091,123,13930,5,3.0,Atlanta,GA,30349,30349,US,2005,SingleFamilyResidence,33.6626598,-84.5680558
853 SW Erin Ave #853,375000,,1000,375,20908,3,1.0,Atlanta,GA,30310,30310,US,1974,SingleFamilyResidence,33.7194993,-84.4158587
2066 Bethel Dr NW,150000,,1624,92,9121,3,1.0,Atlanta,GA,30314,30314,US,1938,SingleFamilyResidence,33.7621675,-84.4556161
6875 Kimberly Mill Rd,269900,,1092,247,11251,4,2.0,Atlanta,GA,30349,30349,US,1973,SingleFamilyResidence,33.5682476,-84.4894926
2255 Harry Brooks Dr NW,625000,56,2496,250,6895,3,2.5,Atlanta,GA,30318,30318,US,2001,SingleFamilyResidence,33.8171683,-84.4585714
4004 Fennel Cir SW,289900,,2150,135,11282,5,2.5,Atlanta,GA,30331,30331,US,1975,SingleFamilyResidence,33.7537745,-84.5182941
5366 Orly Ter,236500,,1325,178,19384,3,2.0,Atlanta,GA,30349,30349,US,1967,SingleFamilyResidence,33.6093381,-84.4609486
1383 Almont Dr SW,246000,,1203,204,9099,3,2.0,Atlanta,GA,30310,30310,US,1948,SingleFamilyResidence,33.7262082,-84.433206
2479 Peachtree Rd NE #1506,190000,642,837,227,827,1,1.0,Atlanta,GA,30305,30305,US,1967,SingleFamilyResidence,33.822483,-84.386464
994 Crane Rd NE,789000,,2058,383,26009,4,2.0,Atlanta,GA,30324,30324,US,1951,SingleFamilyResidence,33.839989,-84.3551418
934 Fairburn Rd NW,219900,,1100,200,8886,4,2.0,Atlanta,GA,30331,30331,US,1960,SingleFamilyResidence,33.779503,-84.5028125
711 Cosmopolitan Dr NE #823,269000,323,855,315,853,1,1.5,Atlanta,GA,30324,30324,US,2009,SingleFamilyResidence,33.8212889,-84.3629968
2010 Briar Ridge Way SW,265000,,1309,202,9439,3,2.5,Atlanta,GA,30331,30331,US,1991,SingleFamilyResidence,33.6977418,-84.5024522
700 Wilson Mill Rd SW,575000,,3700,155,27325,5,3.0,Atlanta,GA,30331,30331,US,1992,SingleFamilyResidence,33.7366178,-84.5347465
1375 Funston Ave SE,600000,,1224,490,26249,3,2.0,Atlanta,GA,30315,30315,US,1953,SingleFamilyResidence,33.7168593,-84.3655605
780 Palatine Ave SE,675000,,1469,459,7000,3,2.0,Atlanta,GA,30316,30316,US,1930,SingleFamilyResidence,33.7330996,-84.3559491
2110 Wallace Rd SW,697000,,5467,127,43560,5,4.5,South Fulton,GA,30331,30331,US,1990,SingleFamilyResidence,33.6978241,-84.5678717
1901 Westminister Way NE,700000,,1918,365,13068,3,2.0,Atlanta,GA,30307,30307,US,1946,SingleFamilyResidence,33.7937528,-84.3113248
2470 Georgetown Ave,550000,275,2187,251,1742,4,3.5,Atlanta,GA,30345,30345,US,2019,SingleFamilyResidence,33.8585657,-84.3085475
50 Biscayne Dr NW #3103,349000,,1350,259,1102,2,2.0,Atlanta,GA,30309,30309,US,2009,SingleFamilyResidence,33.8148921,-84.3934936
659 Auburn Ave NE #244,425000,200,930,457,927,2,1.0,Atlanta,GA,30312,30312,US,1925,SingleFamilyResidence,33.7560556,-84.3663496
750 Park Ave NE Unit 6E,1025000,1617,2262,453,2265,2,2.5,Atlanta,GA,30326,30326,US,1999,SingleFamilyResidence,33.8553347,-84.3618549
1093 Berkshire Rd NE,1695000,,3400,499,17628,4,4.0,Atlanta,GA,30306,30306,US,1939,SingleFamilyResidence,33.7987777,-84.3515688
400 W Peachtree St NW #2116,224900,379,776,290,775,1,1.0,Atlanta,GA,30308,30308,US,2007,SingleFamilyResidence,33.7656987,-84.3877128
124 Richmond St,500000,,990,505,7274,3,1.0,Atlanta,GA,30312,30312,US,1990,SingleFamilyResidence,33.7401453,-84.3836045
245 Amal Dr SW #2006,164900,183,866,190,866,1,1.0,Atlanta,GA,30315,30315,US,2003,SingleFamilyResidence,33.7061983,-84.395722
480 John Wesley Dobbs Ave NE #510,315000,345,795,396,,1,1.0,Atlanta,GA,30316,30316,US,2007,SingleFamilyResidence,33.7595477,-84.3715916
1155 Custer Ave SE #308,259000,208,765,339,1149,1,1.0,Atlanta,GA,30316,30316,US,2021,SingleFamilyResidence,33.7149671,-84.3509832
828 Canterbury Overlook,722000,365,2056,351,2178,4,3.5,Atlanta,GA,30324,30324,US,2015,SingleFamilyResidence,33.8295304,-84.3589087
3338 Peachtree Rd NE #3103,620000,846,1742,356,1742,2,2.0,Atlanta,GA,30326,30326,US,2004,SingleFamilyResidence,33.848502,-84.3704379
3636 Habersham Rd NW #1108,400000,600,1406,284,1393,2,2.0,Atlanta,GA,30305,30305,US,1997,SingleFamilyResidence,33.853216,-84.3841967
419 Chevelle Ln,1750000,,3490,501,13068,5,5.0,Decatur,GA,30030,30030,US,2023,SingleFamilyResidence,33.7513683,-84.2906076
2749 Lincoln Ct NW,200000,,,,24480,2,2.0,Atlanta,GA,30318,30318,US,1964,SingleFamilyResidence,33.7684889,-84.4673914
1278 Village Run NE,799000,108,2457,325,8712,4,3.5,Brookhaven,GA,30319,30319,US,1990,SingleFamilyResidence,33.8472716,-84.3400882
3113 Colonial Way Unit A,208000,250,960,217,2848,2,1.5,Atlanta,GA,30341,30341,US,1956,SingleFamilyResidence,33.8684609,-84.2819647
166 Chappell Rd NW,349000,,1262,277,7000,3,2.0,Atlanta,GA,30314,30314,US,1945,SingleFamilyResidence,33.7593665,-84.433848
52 Mount Vernon Cir,400000,354,1480,270,1481,2,2.5,Atlanta,GA,30338,30338,US,1985,SingleFamilyResidence,33.9364367,-84.350634
2167 Avion Way #3,559000,175,,,3441,3,3.5,Chamblee,GA,30341,30341,US,2024,SingleFamilyResidence,33.86674,-84.300752
1378 Lucile Ave SW,395000,,1766,224,8755,3,3.0,Atlanta,GA,30310,30310,US,2003,SingleFamilyResidence,33.7420714,-84.4329599
8740 Roswell Rd Unit 9G,239000,,,,1350,2,2.0,Sandy Springs,GA,30350,30350,US,1980,SingleFamilyResidence,33.9942444,-84.3534115
325 Fauna Ct,775000,,5879,132,33410,5,5.5,Sandy Springs,GA,30350,30350,US,1983,SingleFamilyResidence,33.9881102,-84.3566958
170 Boulevard SE Unit E003,325000,290,736,442,,1,1.0,Atlanta,GA,30312,30312,US,2007,SingleFamilyResidence,33.7506068,-84.3698945
2570 Picardy Cir N,199900,,1289,155,4364,3,2.5,Atlanta,GA,30349,30349,US,1986,SingleFamilyResidence,33.5970574,-84.4769198
6345 Connell Rd,285000,,1936,147,11251,4,2.0,Atlanta,GA,30349,30349,US,1970,SingleFamilyResidence,33.5741495,-84.5004617
3376 Peachtree Rd #1,2950000,,4138,713,,3,3.5,Atlanta,GA,30326,30326,US,2017,SingleFamilyResidence,33.849835,-84.3667323
2230 Beecher Cir SW,449700,,2200,204,27878,4,2.5,Atlanta,GA,30310,30310,US,1950,SingleFamilyResidence,33.7334419,-84.461594
78 Moreland Ave NE,375000,,1110,338,5083,2,1.0,Atlanta,GA,30307,30307,US,1930,SingleFamilyResidence,33.7556553,-84.3494192
74 Moreland Ave NE,375000,,1036,362,5083,2,1.0,Atlanta,GA,30307,30307,US,1930,SingleFamilyResidence,33.7555476,-84.3494382
215 Piedmont Ave NE #1805,199000,798,550,362,,1,1.0,Atlanta,GA,30308,30308,US,1963,SingleFamilyResidence,33.7601493,-84.3816048
23101 Plantation Dr NE,289000,9778,1462,198,1481,2,2.0,Atlanta,GA,30324,30324,US,1980,SingleFamilyResidence,33.8369018,-84.3567892
3334 Peachtree Rd NE #514,300000,357,1025,293,1045,1,1.0,Atlanta,GA,30326,30326,US,1997,SingleFamilyResidence,33.8462328,-84.3688117
2953 Collier Dr NW,439900,,2450,180,14701,4,2.0,Atlanta,GA,30318,30318,US,1956,SingleFamilyResidence,33.7634991,-84.4842022
2657 Meadow Ct,320000,575,1707,187,901,3,2.5,Atlanta,GA,30341,30341,US,1974,SingleFamilyResidence,33.8816941,-84.280298
356 Glen Arden Pl NW,2000000,,6245,320,29620,5,7.5,Atlanta,GA,30305,30305,US,1972,SingleFamilyResidence,33.8430478,-84.3999923
1245 Liberty Pkwy #1245,325000,450,1326,245,653,3,3.5,Atlanta,GA,30318,30318,US,2005,SingleFamilyResidence,33.819087,-84.442318
5265 Willow Park Blvd,275000,,2021,136,10454,4,2.5,College Park,GA,30349,30349,US,2002,SingleFamilyResidence,33.6030038,-84.4679269
2697 Vinings Central Dr #61,234900,736,1270,185,592,2,2.0,Atlanta,GA,30339,30339,US,1986,SingleFamilyResidence,33.840807,-84.478668
