SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,79 Golf Pkwy Unit H,Madison,WI,53704,275000,3,1.5,Madison,1530,,1987,6,180,379,Active,,,https://www.redfin.com/WI/Madison/79-Golf-Pkwy-53704/unit-H/home/89920042,SCWMLS,1985702,N,Y,43.1500749,-89.3663875
MLS Listing,,Single Family Residential,6902 Bluff Point Dr,Madison,WI,53718,679000,4,3.0,Reston Heights,3516,13068,2004,19,193,19,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/WI/Madison/6902-Bluff-Point-Dr-53718/home/57774803,SCWMLS,1984901,N,Y,43.0929628,-89.2575401
MLS Listing,,Single Family Residential,3605 Gregory St,Madison,WI,53711,514000,2,1.0,Madison,1250,4791,1937,30,411,,Active,,,https://www.redfin.com/WI/Madison/3605-Gregory-St-53711/home/89965900,SCWMLS,1984058,N,Y,43.0528223,-89.4399203
MLS Listing,,Condo/Co-op,2148 Allen Blvd #3,Middleton,WI,53562,200000,2,1.0,Middleton,960,,1975,77,208,350,Active,,,https://www.redfin.com/WI/Middleton/2148-Allen-Blvd-53562/unit-3/home/57809018,SCWMLS,1980775,N,Y,43.0943184,-89.4874858
MLS Listing,,Townhouse,141 S Franklin St,Madison,WI,53703,479000,2,1.5,Madison,1300,,1998,125,368,350,Active,,,https://www.redfin.com/WI/Madison/141-S-Franklin-St-53703/home/186256466,SCWMLS,1977377,N,Y,43.0762494,-89.377199
MLS Listing,,Single Family Residential,5430 Park Meadow Dr,Madison,WI,53704,390000,3,2.5,Ridgewood Glacier Addition,1852,4791,2001,1,211,,Active,September-22-2024 12:00 PM,September-22-2024 02:00 PM,https://www.redfin.com/WI/Madison/5430-Park-Meadow-Dr-53704/home/57754861,SCWMLS,1985908,N,Y,43.1123762,-89.2888383
MLS Listing,,Townhouse,214 S Hamilton St,Madison,WI,53703,665000,1,2.0,Madison,1364,,2023,1,488,365,Active,,,https://www.redfin.com/WI/Madison/214-S-Hamilton-St-53703/home/189922829,SCWMLS,1986034,N,Y,43.0711624,-89.3845079
MLS Listing,,Townhouse,208 S Hamilton St,Madison,WI,53703,805000,1,2.0,Madison,1684,,2023,1,478,445,Active,,,https://www.redfin.com/WI/Madison/208-S-Hamilton-St-53703/home/189922830,SCWMLS,1986031,N,Y,43.07117,-89.384476
MLS Listing,,Townhouse,6037 Cottontail Trl,Madison,WI,53718,299000,2,2.5,Madison,1656,,1996,1,181,305,Active,,,https://www.redfin.com/WI/Madison/6037-Cottontail-Trl-53718/home/185144628,SCWMLS,1986029,N,Y,43.076599,-89.275758
MLS Listing,,Single Family Residential,322 North Lawn Ave,Madison,WI,53704,279900,2,1.0,Madison,860,4356,1949,1,325,,Pre On-Market,,,https://www.redfin.com/WI/Madison/322-North-Lawn-Ave-53704/home/89914022,SCWMLS,1986023,N,Y,43.1038233,-89.3456542
MLS Listing,,Condo/Co-op,1634 Kings Mill Way #306,Madison,WI,54317,249900,2,2.0,Madison,1001,,2002,1,250,295,Active,,,https://www.redfin.com/WI/Madison/1634-Kings-Mill-Way-53718/unit-306/home/89946858,RANW,50298099,N,Y,43.0749964,-89.2785905
MLS Listing,,Multi-Family (2-4 Unit),1929 Schlimgen Ave,Madison,WI,53704,349900,3,2.0,Madison,,4791,1937,1,,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/WI/Madison/1929-Schlimgen-Ave-53704/home/89922315,SCWMLS,1985250,N,Y,43.1185198,-89.358371
MLS Listing,,Single Family Residential,950 Sauk Ridge Trl,Madison,WI,53717,764900,4,3.5,Stonefield Woods,3410,15681,1990,1,224,,Pre On-Market,September-21-2024 01:00 PM,September-21-2024 02:30 PM,https://www.redfin.com/WI/Madison/950-Sauk-Ridge-Trl-53717/home/57622328,SCWMLS,1986006,N,Y,43.0818132,-89.4963286
MLS Listing,,Townhouse,7 Winterberry Trl,Madison,WI,53717,325000,3,2.5,Madison,1796,,1975,1,181,451,Active,September-21-2024 11:30 AM,September-21-2024 03:30 PM,https://www.redfin.com/WI/Madison/7-Winterberry-Trl-53717/home/57857421,SCWMLS,1985999,N,Y,43.0635322,-89.5061994
MLS Listing,,Condo/Co-op,4714 Poplar Creek Dr,Madison,WI,53718,321900,3,2.0,Madison,1758,,2007,1,183,330,Pre On-Market,September-21-2024 10:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/WI/Madison/4714-Poplar-Creek-Dr-53718/home/185131795,SCWMLS,1985975,N,Y,43.15237,-89.280466
MLS Listing,,Single Family Residential,2829 Warner St,Madison,WI,53713,375000,5,2.0,Indian Springs,1989,6969,1993,2,189,,Pre On-Market,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/WI/Madison/2829-Warner-St-53713/home/89911507,SCWMLS,1985965,N,Y,43.0322774,-89.3735983
MLS Listing,,Single Family Residential,9622 Grey Kestrel Dr,Verona,WI,53593,669900,3,2.0,Hawks Valley,1894,7405,2024,2,354,17,Active,,,https://www.redfin.com/WI/Verona/9622-Grey-Kestrel-Dr-53593/home/114000862,SCWMLS,1985952,N,Y,43.028569,-89.554463
MLS Listing,,Townhouse,3039 Bradbury Rd,Madison,WI,53719,349900,3,2.5,Madison,1936,,1997,2,181,255,Active,,,https://www.redfin.com/WI/Madison/3039-Bradbury-Rd-53719/home/185101228,SCWMLS,1985946,N,Y,43.015361,-89.486774
MLS Listing,,Single Family Residential,5601 Tonyawatha Trl,Monona,WI,53716,1700000,4,2.5,Monona Ridge,3148,7840,1987,2,540,,Active,September-19-2024 04:00 PM,September-19-2024 06:00 PM,https://www.redfin.com/WI/Monona/5601-Tonyawatha-Trl-53716/home/89880820,SCWMLS,1985924,N,Y,43.0594278,-89.3510384
MLS Listing,,Single Family Residential,4025 Euclid Ave,Madison,WI,53711,650000,4,1.5,Westmorland,2280,6098,1933,2,285,,Pre On-Market,,,https://www.redfin.com/WI/Madison/4025-Euclid-Ave-53711/home/89908398,SCWMLS,1985917,N,Y,43.0588911,-89.4433267
MLS Listing,,Single Family Residential,1 Jacobs Ct,Madison,WI,53711,429500,3,2.0,Park Ridge Heights,2000,11761,1986,2,215,,Pre On-Market,September-29-2024 12:00 PM,September-29-2024 02:00 PM,https://www.redfin.com/WI/Madison/1-Jacobs-Ct-53711/home/57615988,SCWMLS,1985911,N,Y,43.035679,-89.4940757
MLS Listing,,Single Family Residential,6101 Mulberry Cir,Madison,WI,53711,379900,3,1.5,Meadowood,1338,9583,1962,2,284,,Active,September-21-2024 10:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/WI/Madison/6101-Mulberry-Cir-53711/home/57591000,SCWMLS,1985711,N,Y,43.0307473,-89.4872685
MLS Listing,,Single Family Residential,6125 Dominion Dr,Madison,WI,53718,415000,2,2.0,Grandview Commons,1614,5227,2007,2,257,17,Pre On-Market,,,https://www.redfin.com/WI/Madison/6125-Dominion-Dr-53718/home/57694389,SCWMLS,1985910,N,Y,43.0913477,-89.2737272
MLS Listing,,Single Family Residential,6113 S Highlands Ave,Madison,WI,53705,1250000,4,2.5,Highlands,4616,26136,1966,3,271,,Pre On-Market,,,https://www.redfin.com/WI/Madison/6113-S-Highlands-Ave-53705/home/57646638,SCWMLS,1985897,N,Y,43.077888,-89.4888548
MLS Listing,,Townhouse,3142 Limekiln St,Madison,WI,53719,339800,2,2.5,Madison,1668,,2002,3,204,330,Active,,,https://www.redfin.com/WI/Madison/3142-Limekiln-St-53719/home/181131439,SCWMLS,1985896,N,Y,43.0174169,-89.517691
MLS Listing,,Single Family Residential,4126 Nakoma Rd,Madison,WI,53711,400000,2,1.5,Nakoma,1470,8276,1942,4,272,,Pre On-Market,,,https://www.redfin.com/WI/Madison/4126-Nakoma-Rd-53711/home/57652764,SCWMLS,1985893,N,Y,43.0433743,-89.4450243
MLS Listing,,Townhouse,17 Red Maple Trl,Madison,WI,53715,325000,2,1.5,Madison,1356,,1977,4,240,268,Pre On-Market,,,https://www.redfin.com/WI/Madison/17-Red-Maple-Trl-53717/home/57788806,SCWMLS,1985883,N,Y,43.0659858,-89.5075101
MLS Listing,,Single Family Residential,4609 Gordon Ave,Monona,WI,53716,286000,2,1.0,Monona,792,6098,1950,4,361,,Pre On-Market,,,https://www.redfin.com/WI/Monona/4609-Gordon-Ave-53716/home/57603035,SCWMLS,1985882,N,Y,43.0698417,-89.3275485
MLS Listing,,Single Family Residential,3305 Topping Rd,Madison,WI,53705,1100000,3,2.5,Shorewood Hills,2929,19166,1938,5,376,,Pre On-Market,,,https://www.redfin.com/WI/Madison/3305-Topping-Rd-53705/home/89879065,METROMLS,1891913,N,Y,43.0783562,-89.4472624
MLS Listing,,Single Family Residential,7008 Littlemore Dr,Madison,WI,53718,414900,3,2.5,The Meadowlands,1521,3049,2011,5,273,11,Active,,,https://www.redfin.com/WI/Madison/7008-Littlemore-Dr-53718/home/57712925,SCWMLS,1985805,N,Y,43.0982872,-89.2546996
MLS Listing,,Single Family Residential,401 Blue Moon Dr,Verona,WI,53593,665000,3,3.0,Birchwood Point,3071,10890,2015,5,217,15,Active,,,https://www.redfin.com/WI/Verona/401-Blue-Moon-Dr-53593/home/113961012,SCWMLS,1985803,N,Y,43.0562069,-89.5635919
MLS Listing,,Townhouse,45 Golf Pkwy #45,Madison,WI,53704,434900,2,3.0,Madison,3129,,1981,5,139,387,Active,,,https://www.redfin.com/WI/Madison/45-Golf-Pkwy-53704/unit-45/home/57607180,SCWMLS,1985798,N,Y,43.150606,-89.369659
MLS Listing,,Single Family Residential,2169 Spring Dreams Ln,Madison,WI,53718,399900,4,3.5,Village At Autumn Lake,1939,3049,2024,5,206,27,Active,,,https://www.redfin.com/WI/Madison/2169-Spring-Dreams-Ln-53718/home/178488645,SCWMLS,1985797,N,Y,43.128398,-89.2774249
MLS Listing,,Single Family Residential,2407 Arboretum Dr,Madison,WI,53713,445000,2,1.0,Arboretum / Forest Park,912,10454,1938,5,488,,Pre On-Market,,,https://www.redfin.com/WI/Madison/2407-Arboretum-Dr-53713/home/89879095,SCWMLS,1985794,N,Y,43.0485582,-89.4187707
MLS Listing,,Single Family Residential,2165 Spring Dreams Ln,Madison,WI,53718,394900,4,3.5,Village At Autumn Lake,1941,3049,2023,5,203,27,Active,,,https://www.redfin.com/WI/Madison/2165-Spring-Dreams-Ln-53718/home/178488646,SCWMLS,1985791,N,Y,43.1283,-89.277503
MLS Listing,,Single Family Residential,6846 Village Park Dr,Madison,WI,53718,390000,4,2.0,Parkway Village,2025,6534,2001,5,193,,Active,,,https://www.redfin.com/WI/Madison/6846-Village-Park-Dr-53718/home/57587652,SCWMLS,1985462,N,Y,43.164033,-89.2872657
MLS Listing,,Single Family Residential,1933 West Lawn Ave,Madison,WI,53711,1100000,4,3.0,Madison,1969,5662,1912,5,559,,Pre On-Market,,,https://www.redfin.com/WI/Madison/1933-West-Lawn-Ave-53711/home/85695658,SCWMLS,1985771,N,Y,43.0642806,-89.419343
MLS Listing,,Single Family Residential,7305 Gladstone Dr,Madison,WI,53719,479900,4,3.5,Madison,2474,10890,1993,5,194,,Active,,,https://www.redfin.com/WI/Madison/7305-Gladstone-Dr-53719/home/89934063,SCWMLS,1985743,N,Y,43.0238247,-89.5120431
MLS Listing,,Single Family Residential,531 Pawling St,Madison,WI,53704,300000,2,1.0,North Lawn Addition,681,3920,1937,5,441,,Active,,,https://www.redfin.com/WI/Madison/531-Pawling-St-53704/home/89914199,SCWMLS,1984419,N,Y,43.1059681,-89.3461678
MLS Listing,,Single Family Residential,4654 Secret Garden Dr,Mcfarland,WI,53558,500000,4,3.5,Secret Places At Siggelkow Preserve,2387,6534,2005,5,209,23,Active,,,https://www.redfin.com/WI/McFarland/4654-Secret-Garden-Dr-53558/home/89947048,SCWMLS,1985058,N,Y,43.0310231,-89.2742267
MLS Listing,,Single Family Residential,9625 Winter Basil Dr,Verona,WI,53593,544900,3,2.0,1000 Oaks,1482,6969,2024,6,368,20,Active,,,https://www.redfin.com/WI/Verona/9625-Winter-Basil-Dr-53593/home/174961097,SCWMLS,1985701,N,Y,43.046027,-89.554429
MLS Listing,,Single Family Residential,5014 South Hill Dr,Madison,WI,53705,625000,5,2.5,University Hill Farms,2009,8276,1962,6,311,,Active,,,https://www.redfin.com/WI/Madison/5014-South-Hill-Dr-53705/home/89964652,SCWMLS,1985690,N,Y,43.0639396,-89.4639698
MLS Listing,,Single Family Residential,640 Burnt Sienna Dr,Middleton,WI,53562,449900,2,2.0,Cottages At Chapel View,1222,,2019,6,368,125,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WI/Middleton/640-Burnt-Sienna-Dr-53562/home/185131219,SCWMLS,1985687,N,Y,43.07314,-89.560439
MLS Listing,,Single Family Residential,4306 Brown Ln,Madison,WI,53704,439900,3,2.5,Madison,2016,9147,1988,6,218,,Active,,,https://www.redfin.com/WI/Madison/4306-Brown-Ln-53704/home/57591361,SCWMLS,1985686,N,Y,43.142108,-89.3991106
MLS Listing,,Single Family Residential,9763 Watts Rd,Verona,WI,53593,440000,2,2.5,1000 Oaks,1480,3920,2018,6,297,25,Pre On-Market,October-5-2024 10:00 AM,October-5-2024 12:00 PM,https://www.redfin.com/WI/Verona/9763-Watts-Rd-53593/home/146984399,SCWMLS,1985682,N,Y,43.051683,-89.557822
MLS Listing,,Single Family Residential,1431 Hooker Ave,Madison,WI,53704,367500,3,2.0,Sheridan Triangle,1552,5227,1940,6,237,,Pre On-Market,September-21-2024 11:00 AM,September-21-2024 02:00 PM,https://www.redfin.com/WI/Madison/1431-Hooker-Ave-53704/home/89934107,SCWMLS,1985677,N,Y,43.116172,-89.365771
MLS Listing,,Single Family Residential,526 Holly Ave,Madison,WI,53711,600000,3,1.5,Westmorland,1645,15245,1948,6,365,,Active,,,https://www.redfin.com/WI/Madison/526-Holly-Ave-53711/home/89909390,SCWMLS,1983537,N,Y,43.0563191,-89.4459217
MLS Listing,,Single Family Residential,5 Redmound Cir,Madison,WI,53717,630000,4,2.5,Wexford Village,3661,17424,1992,6,172,,Pre On-Market,,,https://www.redfin.com/WI/Madison/5-Redmound-Cir-53717/home/89898997,SCWMLS,1985668,N,Y,43.0812413,-89.5173861
MLS Listing,,Single Family Residential,1410 Iowa Dr,Madison,WI,53704,349900,3,1.0,Sherman Village,1405,8276,1963,6,249,,Pre On-Market,,,https://www.redfin.com/WI/Madison/1410-Iowa-Dr-53704/home/57591336,SCWMLS,1985664,N,Y,43.1415753,-89.371647
MLS Listing,,Single Family Residential,9867 Hawks Nest Dr,Verona,WI,53593,475000,3,3.0,Hawks Woods Condos,2134,1742,2017,6,223,,Active,,,https://www.redfin.com/WI/Verona/9867-Hawks-Nest-Dr-53593/home/145181246,SCWMLS,1985665,N,Y,43.041075,-89.55906
MLS Listing,,Single Family Residential,211 N Spooner St,Madison,WI,53726,945700,4,2.5,University Heights,2380,6534,1924,6,397,,Active,,,https://www.redfin.com/WI/Madison/211-N-Spooner-St-53726/home/89906510,SCWMLS,1985655,N,Y,43.0716102,-89.4164885
MLS Listing,,Single Family Residential,1622 Grafton Rd,Madison,WI,53716,375000,3,2.0,Elvehjem,2052,8712,1980,6,183,,Active,,,https://www.redfin.com/WI/Madison/1622-Grafton-Rd-53716/home/89967916,SCWMLS,1985099,N,Y,43.0755284,-89.2853858
MLS Listing,,Single Family Residential,613 Clear Spring Ct,Monona,WI,53716,399900,2,1.0,Tonyawatha Springs,1452,8712,1925,6,275,,Pre On-Market,,,https://www.redfin.com/WI/Monona/613-Clear-Spring-Ct-53716/home/57584531,SCWMLS,1985640,N,Y,43.0705524,-89.3356247
MLS Listing,,Single Family Residential,417 Wyalusing Dr,Madison,WI,53718,435000,3,2.5,Madison,2261,8712,2002,6,192,,Active,,,https://www.redfin.com/WI/Madison/417-Wyalusing-Dr-53718/home/89966474,SCWMLS,1985382,N,Y,43.0932741,-89.2607252
MLS Listing,,Single Family Residential,1 Payson Ct,Madison,WI,53719,545000,4,3.5,Quarry Cove,2360,8712,2004,6,231,,Active,,,https://www.redfin.com/WI/Madison/1-Payson-Ct-53719/home/57779062,SCWMLS,1985634,N,Y,43.0093215,-89.4876715
MLS Listing,,Condo/Co-op,605 Samuel Dr,Madison,WI,53717,575000,3,3.0,Madison,2668,,2001,6,216,432,Active,,,https://www.redfin.com/WI/Madison/605-Samuel-Dr-53717/home/192515435,SCWMLS,1985617,N,Y,43.0723968,-89.5312138
MLS Listing,,Single Family Residential,3610 Atwood Ave,Madison,WI,53714,899900,3,1.5,Madison,1856,10454,1960,6,485,,Active,,,https://www.redfin.com/WI/Madison/3610-Atwood-Ave-53714/home/89915354,SCWMLS,1983189,N,Y,43.0882435,-89.3276033
MLS Listing,,Single Family Residential,706 Hintze Rd,Madison,WI,53704,325000,3,1.0,Madison,1056,9147,1962,6,308,,Pre On-Market,September-26-2024 04:00 PM,September-26-2024 06:00 PM,https://www.redfin.com/WI/Madison/706-Hintze-Rd-53704/home/89969251,SCWMLS,1985624,N,Y,43.1331791,-89.3867301
MLS Listing,,Single Family Residential,705 W Olin Ave,Madison,WI,53715,574900,6,3.0,Bay Creek,2270,7405,1923,6,253,,Active,,,https://www.redfin.com/WI/Madison/705-W-Olin-Ave-53715/home/89907807,SCWMLS,1985620,N,Y,43.0537975,-89.3942598
MLS Listing,,Single Family Residential,2053 Helena St,Madison,WI,53704,524900,3,1.0,Madison,1074,4791,1928,6,489,,Active,,,https://www.redfin.com/WI/Madison/2053-Helena-St-53704/home/89967335,SCWMLS,1985618,N,Y,43.090855,-89.3523095
MLS Listing,,Single Family Residential,805 Big Stone Trl,Middleton,WI,53562,1195000,5,4.5,Blackhawk,4333,15245,2016,7,276,13,Active,,,https://www.redfin.com/WI/Middleton/805-Big-Stone-Trl-53562/home/57978633,SCWMLS,1985601,N,Y,43.0770418,-89.5577326
MLS Listing,,Single Family Residential,1717 Schlimgen Ave,Madison,WI,53704,315000,2,1.0,Sherman,876,6098,1938,7,360,,Pre On-Market,,,https://www.redfin.com/WI/Madison/1717-Schlimgen-Ave-53704/home/57654548,SCWMLS,1985593,N,Y,43.1185913,-89.3628015
MLS Listing,,Single Family Residential,238 Breezy Grass Way,Madison,WI,53718,375000,3,2.5,The Meadowlands,1537,3920,2016,7,244,,Pre On-Market,,,https://www.redfin.com/WI/Madison/238-Breezy-Grass-Way-53718/home/89945562,SCWMLS,1985589,N,Y,43.0990017,-89.2526442
MLS Listing,,Townhouse,23 Washington Pl #23,Madison,WI,53703,875000,3,3.0,Madison,2241,,2008,7,390,794,Pre On-Market,,,https://www.redfin.com/WI/Madison/23-Washington-Pl-53703/unit-23/home/192501866,SCWMLS,1985590,N,Y,43.0717674,-89.3872763
MLS Listing,,Single Family Residential,2269 E Washington Ave,Madison,WI,53704,449900,3,1.5,Wakely,1121,4791,1904,7,401,,Pre On-Market,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WI/Madison/2269-E-Washington-Ave-53704/home/89914337,SCWMLS,1985576,N,Y,43.0973578,-89.3519427
MLS Listing,,Single Family Residential,4929 Tocora Ln,Madison,WI,53711,485000,3,2.0,Midvale Heights,1505,9583,1955,7,322,,Active,,,https://www.redfin.com/WI/Madison/4929-Tocora-Ln-53711/home/89934343,SCWMLS,1985566,N,Y,43.0584054,-89.4632315
MLS Listing,,Single Family Residential,703 Old Timber Pass,Verona,WI,53593,497500,3,2.5,Birchwood Point,1628,4791,2020,7,306,10,Active,,,https://www.redfin.com/WI/Verona/703-Old-Timber-Pass-53593/home/171433664,SCWMLS,1983906,N,Y,43.0502358,-89.5646848
MLS Listing,,Townhouse,2009 Mckenna Blvd,Madison,WI,53711,299900,3,2.5,Madison,1546,,1998,7,194,280,Active,,,https://www.redfin.com/WI/Madison/2009-McKenna-Blvd-53711/home/179459387,SCWMLS,1983893,N,Y,43.0312594,-89.4967253
MLS Listing,,Single Family Residential,4914 Ralph Cir,Madison,WI,53714,429900,3,2.5,Rolling Meadow,1995,11761,1969,7,215,,Active,,,https://www.redfin.com/WI/Madison/4914-Ralph-Cir-53714/home/89912173,SCWMLS,1985555,N,Y,43.0965567,-89.2970571
MLS Listing,,Single Family Residential,2910 Lakeland Ave,Madison,WI,53704,1250000,3,3.0,Sasy,2542,4356,2006,7,492,,Active,,,https://www.redfin.com/WI/Madison/2910-Lakeland-Ave-53704/home/89966971,SCWMLS,1985552,N,Y,43.0901377,-89.341626
MLS Listing,,Single Family Residential,10 Craig Ave,Madison,WI,53705,264900,2,1.0,Trillium Homes Condo,768,,1951,7,345,,Active,September-22-2024 11:00 AM,September-22-2024 01:00 PM,https://www.redfin.com/WI/Madison/10-Craig-Ave-53705/home/182483598,SCWMLS,1984409,N,Y,43.0797871,-89.47287
MLS Listing,,Townhouse,22 Boca Grande Way,Madison,WI,53719,289900,2,1.5,Madison,1287,,2000,7,225,280,Active,,,https://www.redfin.com/WI/Madison/22-Boca-Grande-Way-53719/home/186310545,SCWMLS,1984823,N,Y,43.0308148,-89.5034448
MLS Listing,,Single Family Residential,1429 Macarthur Rd,Madison,WI,53714,339900,2,1.0,Mayfair Park,977,10018,1950,7,348,,Active,,,https://www.redfin.com/WI/Madison/1429-MacArthur-Rd-53714/home/89923019,SCWMLS,1985090,N,Y,43.1163598,-89.3219726
MLS Listing,,Single Family Residential,6114 Piping Rock Rd,Madison,WI,53711,549000,5,3.0,Green Tree,3115,13503,1966,7,176,,Active,,,https://www.redfin.com/WI/Madison/6114-Piping-Rock-Rd-53711/home/89901900,SCWMLS,1985248,N,Y,43.041577,-89.4870232
MLS Listing,,Single Family Residential,10009 Shadow Ridge Trl,Middleton,WI,53562,1250000,5,3.0,Blackhawk,4874,12196,2015,8,256,14,Active,September-22-2024 01:00 PM,September-22-2024 03:00 PM,https://www.redfin.com/WI/Middleton/10009-Shadow-Ridge-Trl-53562/home/67103116,SCWMLS,1985537,N,Y,43.0763196,-89.5604103
MLS Listing,,Condo/Co-op,123 N Blount St #404,Madison,WI,53703,449900,2,2.0,Madison,1070,,1910,8,420,623,Active,September-21-2024 01:00 PM,September-21-2024 03:00 PM,https://www.redfin.com/WI/Madison/123-N-Blount-St-53703/unit-404/home/57856368,SCWMLS,1985533,N,Y,43.0813413,-89.3781401
MLS Listing,,Condo/Co-op,16 Sherman Ter #2,Madison,WI,53704,219800,2,1.0,Madison,852,,1949,8,258,275,Active,,,https://www.redfin.com/WI/Madison/16-Sherman-Ter-53704/unit-2/home/89964013,SCWMLS,1985528,N,Y,43.0953804,-89.3664257
MLS Listing,,Single Family Residential,7139 Field Flower Way,Madison,WI,53718,450000,3,2.0,The Meadowlands40,1572,8712,2018,8,286,10,Active,September-22-2024 11:00 AM,September-22-2024 01:00 PM,https://www.redfin.com/WI/Madison/7139-Field-Flower-Way-53718/home/107286488,SCWMLS,1982014,N,Y,43.0997957,-89.2507894
MLS Listing,,Single Family Residential,113 Standish Ct,Madison,WI,53705,975000,4,2.5,Sunset Hills,2210,11325,1967,8,441,,Active,September-22-2024 10:00 AM,September-22-2024 12:00 PM,https://www.redfin.com/WI/Madison/113-Standish-Ct-53705/home/89906342,SCWMLS,1985511,N,Y,43.0649049,-89.4423581
MLS Listing,,Condo/Co-op,340 N Allen St #21,Madison,WI,53726,280000,2,1.0,Madison,1141,,1981,8,245,493,Active,,,https://www.redfin.com/WI/Madison/340-N-Allen-St-53726/unit-21/home/89964921,SCWMLS,1985085,N,Y,43.0721972,-89.424068
MLS Listing,,Single Family Residential,1201 Southridge Dr,Madison,WI,53704,400000,3,2.5,Ridgewood The Valley Addition,1622,7840,1999,8,247,,Active,,,https://www.redfin.com/WI/Madison/1201-Southridge-Dr-53704/home/57646403,SCWMLS,1985508,N,Y,43.115934,-89.2918318
MLS Listing,,Single Family Residential,1911 Vilas Ave,Madison,WI,53711,1400000,5,2.5,Vilas,3416,7405,1926,8,410,,Active,,,https://www.redfin.com/WI/Madison/1911-Vilas-Ave-53711/home/89907501,SCWMLS,1985392,N,Y,43.061573,-89.4146981
MLS Listing,,Townhouse,3008 Nessling St,Madison,WI,53719,329900,2,2.5,Madison,1668,,2000,8,198,330,Active,,,https://www.redfin.com/WI/Madison/3008-Nessling-St-53719/home/146328795,SCWMLS,1985481,N,Y,43.0176752,-89.5172607
MLS Listing,,Single Family Residential,3387 Brugger Pl,Mcfarland,WI,53558,429000,3,2.0,April Hill,1528,15681,1981,8,281,,Pre On-Market,,,https://www.redfin.com/WI/McFarland/3387-Brugger-Pl-53558/home/89882005,SCWMLS,1985473,N,Y,43.0315143,-89.2814542
MLS Listing,,Townhouse,326 E Hill Pkwy #5,Madison,WI,53718,279900,2,2.5,Madison,1364,,2006,8,205,275,Active,,,https://www.redfin.com/WI/Madison/326-East-Hill-Pkwy-53718/unit-5/home/57817411,SCWMLS,1985454,N,Y,43.094552,-89.2601589
MLS Listing,,Single Family Residential,206 Oak St,Madison,WI,53704,274500,2,1.0,Madison,816,3920,1925,8,336,,Active,,,https://www.redfin.com/WI/Madison/206-Oak-St-53704/home/89913807,SCWMLS,1982618,N,Y,43.1017371,-89.3435552
MLS Listing,,Single Family Residential,2301 Aspen Rd,Madison,WI,53711,424900,4,1.5,Manor Green Addition To Meadowwood,2794,11325,1963,8,152,,Active,,,https://www.redfin.com/WI/Madison/2301-Aspen-Rd-53711/home/89898791,SCWMLS,1985464,N,Y,43.0285003,-89.4711233
MLS Listing,,Single Family Residential,4731 Catalina Pkwy,Mcfarland,WI,53558,514900,3,2.5,Secret Places,2056,7405,2016,8,250,23,Active,,,https://www.redfin.com/WI/McFarland/4731-Catalina-Pkwy-53558/home/89945842,SCWMLS,1984917,N,Y,43.0290287,-89.2696186
MLS Listing,,Single Family Residential,7426 East Pass,Madison,WI,53719,479000,3,2.5,The Crossing,2404,7840,1999,8,199,,Active,September-21-2024 12:00 PM,September-21-2024 02:00 PM,https://www.redfin.com/WI/Madison/7426-East-Pass-53719/home/57642180,SCWMLS,1983907,N,Y,43.0076179,-89.5080613
MLS Listing,,Single Family Residential,502 Orchard Dr,Madison,WI,53711,394900,3,1.0,Park Heights,1260,10454,1953,8,313,,Active,,,https://www.redfin.com/WI/Madison/502-Orchard-Dr-53711/home/89910092,SCWMLS,1985366,N,Y,43.0559446,-89.456376
MLS Listing,,Single Family Residential,6927 Silver Dawn Dr,Madison,WI,53718,394900,3,2.5,The Meadowlands,1736,6534,2005,8,227,13,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/WI/Madison/6927-Silver-Dawn-Dr-53718/home/57582972,SCWMLS,1985461,N,Y,43.0978004,-89.2574357
MLS Listing,,Townhouse,309 South Point Rd,Verona,WI,53593,394900,3,2.5,Madison,1985,,2017,8,199,200,Active,,,https://www.redfin.com/WI/Verona/309-S-Point-Rd-53593/home/185119647,SCWMLS,1985172,N,Y,43.0570489,-89.5517163
MLS Listing,,Townhouse,5122 Merwood Ln #124,Madison,WI,53718,349900,3,2.5,Madison,1600,,2012,8,219,175,Active,,,https://www.redfin.com/WI/Madison/5122-Merwood-Ln-53718/unit-124/home/192515724,SCWMLS,1985458,N,Y,43.0263805,-89.2922093
